ID	adj.Pval	P.Value	t	B	logFC	Gene.symbol	Gene.title
ENSG00000000003	0.999884595153707	0.991516963602152	-0.0114674905140294	-4.5971276656756	-0.0178967133172838	TSPAN6	tetraspanin 6 [Source:HGNC Symbol;Acc:HGNC:11858]
ENSG00000000419	0.999884595153707	0.9434656272388	-0.0765192129739341	-4.59711270173436	-0.102334679265553	DPM1	dolichyl-phosphate mannosyltransferase subunit 1, catalytic [Source:HGNC Symbol;Acc:HGNC:3005]
ENSG00000000457	0.999884595153707	0.715930529945658	0.3970401184891	-4.59673413674347	0.529880259484131	SCYL3	SCY1 like pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:19285]
ENSG00000000460	0.999884595153707	0.939460788237904	0.0819551000347741	-4.59711045410626	0.113765771593144	C1orf112	chromosome 1 open reading frame 112 [Source:HGNC Symbol;Acc:HGNC:25565]
ENSG00000000971	0.999884595153707	0.509091747068419	-0.739871324249584	-4.5959001117798	-1.26912218498117	CFH	complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]
ENSG00000001036	0.999884595153707	0.772924647135723	-0.313480379413553	-4.59687814357079	-0.726921374813485	FUCA2	alpha-L-fucosidase 2 [Source:HGNC Symbol;Acc:HGNC:4008]
ENSG00000001084	0.999884595153707	0.882787513718731	-0.159319427065425	-4.59706204107154	-0.211060326179021	GCLC	glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311]
ENSG00000001167	0.999884595153707	0.946470591826807	0.0724424326533018	-4.59711428692656	0.0950702581570324	NFYA	nuclear transcription factor Y subunit alpha [Source:HGNC Symbol;Acc:HGNC:7804]
ENSG00000001460	0.999884595153707	0.974909308688711	-0.033925487633342	-4.59712499663669	-0.0450458333013213	STPG1	sperm tail PG-rich repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:28070]
ENSG00000001461	0.999884595153707	0.847235872554832	-0.208451336364465	-4.59701569618525	-0.329795476647609	NIPAL3	NIPA like domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25233]
ENSG00000001497	0.999884595153707	0.782876713156398	-0.299188926635563	-4.59689981280355	-0.432545234156678	LAS1L	LAS1 like ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:25726]
